mine density,score advance,score simp,mine density,Score Advanced Agent,score Simp Calc
140,65.6,34.48,140,46.85714286,24.62857143
141,63.7,34.88,141,45.17730496,24.73758865
142,65.9,36.96,142,46.4084507,26.02816901
143,65.5,36.48,143,45.8041958,25.51048951
144,67.1,36.24,144,46.59722222,25.16666667
145,68.4,35.64,145,47.17241379,24.57931034
146,61.8,36.48,146,42.32876712,24.98630137
147,65.2,38.48,147,44.3537415,26.17687075
148,68.5,35.56,148,46.28378378,24.02702703
149,68.9,38.4,149,46.24161074,25.77181208
150,63.7,37.8,150,42.46666667,25.2
151,63.5,40.6,151,42.05298013,26.88741722
152,67.3,40.92,152,44.27631579,26.92105263
153,64.8,40.08,153,42.35294118,26.19607843
154,69.3,43.44,154,45,28.20779221
155,63.8,44.12,155,41.16129032,28.46451613
156,66.8,43,156,42.82051282,27.56410256
157,65.4,41.04,157,41.65605096,26.14012739
158,64.5,43.56,158,40.82278481,27.56962025
159,68.2,39.68,159,42.89308176,24.95597484
160,73.1,45.28,160,45.6875,28.3
161,69.6,44.6,161,43.22981366,27.70186335
162,68.1,37.8,162,42.03703704,23.33333333
163,71.7,41.72,163,43.98773006,25.59509202
164,63.8,44.44,164,38.90243902,27.09756098
165,63.3,44.8,165,38.36363636,27.15151515
166,65,43.04,166,39.15662651,25.92771084
167,67.4,48.76,167,40.35928144,29.19760479
168,69.9,46.4,168,41.60714286,27.61904762
169,64,41.44,169,37.86982249,24.52071006
170,65.6,47.2,170,38.58823529,27.76470588
171,65.8,49.8,171,38.47953216,29.12280702
172,62.3,43.88,172,36.22093023,25.51162791
173,67,47.44,173,38.7283237,27.42196532
174,63.9,48.24,174,36.72413793,27.72413793
175,63.4,46.96,175,36.22857143,26.83428571
176,62.7,48.4,176,35.625,27.5
177,64.7,48.44,177,36.55367232,27.36723164
178,64.3,46.6,178,36.12359551,26.17977528
179,62.3,48.32,179,34.80446927,26.99441341
180,66.6,50.68,180,37,28.15555556
181,60.6,50.88,181,33.48066298,28.11049724
182,62.9,53.72,182,34.56043956,29.51648352
183,64.9,51.68,183,35.46448087,28.24043716
184,65.8,51.48,184,35.76086957,27.97826087
185,58.3,52.68,185,31.51351351,28.47567568
186,62.3,49.92,186,33.49462366,26.83870968
187,63.5,47.04,187,33.95721925,25.15508021
188,62.3,50.56,188,33.13829787,26.89361702
189,55.8,48.8,189,29.52380952,25.82010582
190,59.9,51.64,190,31.52631579,27.17894737
191,62.2,45.96,191,32.56544503,24.06282723
192,59.9,45.88,192,31.19791667,23.89583333
